log_id,timestamp,endpoint,method,status_code,response_time_ms,error_type,user_id,ip_address
4365,2026-03-24 16:54:38,/api/reports,POST,503,3564,Service Unavailable,3ab4c9e2,89.94.117.85
7652,2026-03-24 17:16:25,/api/notifications,PUT,200,199,,2867eda0,128.142.9.223
2130,2026-03-24 18:05:25,/api/products,POST,200,289,,343c3a8f,151.238.137.128
8641,2026-03-24 18:13:38,/api/auth/logout,POST,200,184,,3d758400,9.32.248.107
9624,2026-03-24 18:27:15,/api/reports,DELETE,204,1073,,,70.217.212.178
5800,2026-03-24 18:45:36,/api/auth/login,PUT,200,422,,353ebb4b,33.137.196.210
9734,2026-03-24 19:09:17,/api/products,GET,200,229,,c358e9c1,157.105.246.199
1368,2026-03-24 19:40:04,/api/auth/login,GET,200,197,,f4bdb334,59.74.166.236
6344,2026-03-24 20:01:53,/api/reports,DELETE,200,299,,a52b4217,86.149.13.156
2718,2026-03-24 20:07:04,/api/users,GET,200,177,,9e9621aa,151.137.3.233
1239,2026-03-24 20:10:20,/api/orders,GET,200,144,,,60.241.42.51
2740,2026-03-24 20:21:30,/api/orders,POST,204,324,,ccf3f124,222.98.181.79
5110,2026-03-24 20:21:45,/api/payments,DELETE,200,525,,f4ffd710,76.146.72.95
82,2026-03-24 20:26:36,/api/orders,POST,201,397,,f215d37f,37.229.204.145
5733,2026-03-24 20:26:42,/api/payments,POST,400,296,Bad Request,05827442,187.254.87.120
6145,2026-03-24 20:32:35,/api/reports,POST,201,1351,,2fa9ec2b,68.44.17.50
8717,2026-03-24 21:34:03,/api/products,PUT,200,140,,d7687e20,161.67.150.119
5426,2026-03-24 22:11:11,/api/users,POST,200,227,,a7fd6db5,66.45.68.191
8502,2026-03-24 22:15:47,/api/auth/logout,GET,200,71,,686b9904,40.159.241.218
10089,2026-03-24 22:25:23,/api/orders,PUT,500,728,Internal Server Error,b803df5d,71.55.143.100
3337,2026-03-24 22:25:29,/api/auth/logout,PUT,200,34,,53379c3a,176.243.215.228
5241,2026-03-24 22:37:52,/api/auth/logout,PUT,200,168,,c11e8254,84.157.188.167
4706,2026-03-24 22:42:45,/api/reports,POST,200,383,,fc6d359c,138.128.60.24
542,2026-03-24 22:54:25,/api/products,POST,200,189,,65515b96,15.196.85.73
7853,2026-03-24 23:06:03,/api/reports,POST,200,556,,85a8325a,108.43.139.146
2245,2026-03-24 23:09:48,/api/notifications,POST,201,122,,c42d82d7,18.76.147.242
7040,2026-03-24 23:24:09,/api/payments,DELETE,200,256,,33bfc1d7,166.120.11.53
8793,2026-03-24 23:34:48,/api/auth/logout,GET,200,66,,918e2d70,138.226.134.40
7283,2026-03-24 23:43:21,/api/products,DELETE,200,192,,2152bd3f,156.180.117.248
3214,2026-03-24 23:46:58,/api/payments,PUT,200,472,,417a308f,175.159.15.81
6987,2026-03-24 23:48:12,/api/reports,DELETE,200,1173,,86398d03,199.93.246.144
221,2026-03-25 00:04:09,/api/orders,GET,200,288,,4faee5d6,51.224.194.78
8445,2026-03-25 00:06:12,/api/health,POST,200,18,,ef127577,220.158.139.145
3372,2026-03-25 00:07:22,/api/users,PUT,404,382,Not Found,2883055d,151.20.203.149
8953,2026-03-25 00:30:00,/api/products,POST,200,10,,90784cd4,49.188.126.150
2769,2026-03-25 00:32:00,/api/orders,PUT,404,141,Not Found,61ace159,7.24.95.149
4529,2026-03-25 00:34:08,/api/orders,DELETE,201,210,,8485478e,178.11.73.181
5246,2026-03-25 00:40:36,/api/auth/logout,PUT,200,147,,672b4995,161.198.99.249
10072,2026-03-25 00:42:26,/api/health,PUT,200,10,,ce1431a9,71.84.156.186
162,2026-03-25 00:52:06,/api/notifications,PUT,200,186,,d10e2180,26.152.83.61
197,2026-03-25 00:59:12,/api/users,PUT,201,256,,e441e129,207.229.147.224
2904,2026-03-25 00:59:58,/api/reports,GET,200,755,,ff67ecde,48.24.169.124
9732,2026-03-25 01:04:24,/api/products,GET,200,168,,897605b2,185.174.9.197
4400,2026-03-25 01:27:29,/api/auth/logout,DELETE,404,97,Not Found,45519eb7,75.32.208.141
9106,2026-03-25 01:35:08,/api/health,POST,404,45,Not Found,03fe7779,126.247.255.34
4027,2026-03-25 01:40:16,/api/search,POST,200,322,,9ce82547,32.138.175.46
8269,2026-03-25 01:58:47,/api/auth/logout,DELETE,502,312,Bad Gateway,fdadc69b,171.209.154.202
3689,2026-03-25 02:17:12,/api/products,PUT,200,169,,a5483fad,167.235.189.89
4268,2026-03-25 02:22:09,/api/users,DELETE,204,266,,7c1c0f0d,165.41.154.231
9762,2026-03-25 02:28:06,/api/users,PUT,200,169,,aea0c2b1,212.93.221.152
9411,2026-03-25 02:35:08,/api/products,PUT,200,238,,0be7dba1,95.1.203.97
326,2026-03-25 02:36:19,/api/search,POST,200,906,,,27.182.206.233
6898,2026-03-25 02:38:35,/api/notifications,GET,204,139,,d3209c6d,101.9.44.121
8818,2026-03-25 02:40:13,/api/auth/logout,PUT,200,162,,bede5c87,59.170.38.88
494,2026-03-25 02:48:08,/api/orders,DELETE,200,178,,23579870,183.7.7.9
99,2026-03-25 02:49:28,/api/users,DELETE,200,396,,b3b68882,152.108.160.125
8518,2026-03-25 02:55:09,/api/auth/logout,GET,502,46,Bad Gateway,8b7da116,140.88.74.158
9688,2026-03-25 02:59:19,/api/auth/login,GET,201,364,,7953a522,100.155.59.163
10092,2026-03-25 03:01:53,/api/notifications,DELETE,200,181,,c66b7b4d,74.10.0.172
6783,2026-03-25 03:07:46,/api/search,POST,201,434,,788e97e2,169.100.234.43
8719,2026-03-25 03:12:05,/api/notifications,PUT,200,201,,13627170,98.230.193.52
9683,2026-03-25 03:21:43,/api/health,DELETE,404,32,Not Found,857316e3,95.248.246.145
777,2026-03-25 03:33:24,/api/auth/login,DELETE,404,168,Not Found,4c836e98,168.225.31.223
7419,2026-03-25 03:36:42,/api/auth/login,GET,200,172,,0586eb7e,146.7.223.127
3777,2026-03-25 03:56:17,/api/orders,PUT,200,664,,d7ec1106,215.53.130.223
1141,2026-03-25 03:58:21,/api/reports,GET,200,994,,d17798b5,219.44.41.214
4670,2026-03-25 04:04:42,/api/health,GET,204,52,,fcfe1d94,204.163.143.105
2059,2026-03-25 04:17:33,/api/auth/login,GET,200,295,,,132.239.19.85
2923,2026-03-25 04:21:56,/api/users,PUT,200,10,,3f723c12,161.204.252.224
1545,2026-03-25 04:22:30,/api/auth/login,PUT,200,150,,b40b0018,137.65.147.226
5769,2026-03-25 04:49:05,/api/users,GET,200,10,,c548fc00,135.163.172.141
1844,2026-03-25 05:01:15,/api/auth/login,GET,200,366,,10c09ea2,73.147.71.99
8438,2026-03-25 05:11:48,/api/notifications,PUT,403,138,Forbidden,5602925c,217.86.158.4
